"0","Country","Country_code","Series","Series_code","Year","Number"
"3855","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","14.0257463696146"
"3875","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","6.93178792966635"
"3895","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","27.3057580843693"
"3915","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","10.2880224373708"
"3935","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","25.8943027105826"
"3955","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","8.40382376998235"
"3975","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","10.6670888448641"
"3995","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","19.5616302983706"
"4015","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","29.4353772841174"
"4035","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","26.6797397319485"
"4055","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","16.6166643866727"
"4075","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","25.4749242313374"
"4095","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","25.5435795603577"
"4115","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","21.0828649832019"
"4135","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","32.0500085941197"
"4155","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","26.0726364830095"
"4175","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1990","17.707039657939"
